Date,Brightness,Yellowness,Whiteness,Pulp Moisture,Time2,VCD,VC,T90,L,a,b
1/1/2020,91.718,4.4275,86.0945,8.52,6:00:00 PM,0.42,0.78,554,-4.997,0.219,4.29
1/1/2020,91.718,4.4275,86.0945,8.52,7:00:00 PM,0.34,0.79,567,-4.997,0.219,4.29
1/1/2020,91.718,4.4275,86.0945,8.52,7:00:00 PM,0.34,0.79,567,-4.497,0.219,4.29
1/1/2020,91.718,4.4275,86.0945,8.52,7:00:00 PM,0.34,0.87,585,-4.497,0.219,4.29
1/1/2020,91.787,4.2375,86.452,8.78,8:00:00 PM,0.46,0.87,585,-7.779,0.261,4.283
1/1/2020,91.787,4.2375,86.452,8.78,8:00:00 PM,0.46,0.85,555,-7.779,0.261,4.283
1/1/2020,91.787,4.2375,86.452,8.78,8:00:00 PM,0.46,0.85,555,-7.779,0.261,4.283
1/1/2020,91.7135,4.4365,86.1165,9.045,9:00:00 PM,0.4,0.79,563,-4.881,0.328,4.193
1/1/2020,91.7135,4.4365,86.1165,9.045,9:00:00 PM,0.4,0.79,563,-4.881,0.328,4.193
1/1/2020,91.7135,4.4365,86.1165,9.045,9:00:00 PM,0.4,0.83,591,-4.881,0.328,4.193
1/1/2020,91.708,4.484,86.011,9.37,10:00:00 PM,0.45,0.83,591,-4.774,0.362,4.345
1/1/2020,91.708,4.484,86.011,9.37,10:00:00 PM,0.45,0.82,560,-4.774,0.362,4.345
1/1/2020,91.656,4.447,85.961,9.39,11:00:00 PM,0.42,0.82,560,-4.792,0.163,5.19
1/1/2020,91.656,4.447,85.961,9.39,11:00:00 PM,0.42,0.83,596,-4.708,0.163,5.19
1/1/2020,91.6785,4.4495,86.0865,9.13,11:00:00 PM,0.42,0.83,596,-4.708,0.263,4.591
1/1/2020,91.6785,4.4495,86.0865,9.13,11:00:00 PM,0.42,0.89,598,-4.708,0.263,4.591
1/1/2020,91.6785,4.4495,86.0865,9.13,12:00:00 AM,0.51,0.89,598,-4.708,0.263,4.591
1/1/2020,91.792,4.410,86.21,8.26,12:00:00 AM,0.51,0.84,573,-4.970,0.238,5.030
1/1/2020,91.792,4.410,86.21,8.26,1:00:00 AM,0.46,0.84,573,-4.970,0.238,5.030
1/1/2020,91.767,4.415,86.26,8.55,1:00:00 AM,0.46,0.98,576,-4.922,0.276,5.060
1/1/2020,91.767,4.415,86.26,8.55,1:00:00 AM,0.46,0.98,576,-4.922,0.276,5.060
1/1/2020,91.767,4.415,86.26,8.55,2:00:00 AM,0.43,0.96,596,-4.922,0.276,5.060
1/1/2020,91.971,4.221,47.6445,8.64,2:00:00 AM,0.43,0.96,596,-4.939,0.259,4.590
1/1/2020,91.971,4.221,47.6445,8.64,2:00:00 AM,0.43,0.92,580,-4.939,0.259,4.590
1/1/2020,91.83,4.362,86.3535,9.34,3:00:00 AM,0.33,0.92,580,-4.888,0.336,4.586
1/1/2020,91.83,4.362,86.3535,9.34,3:00:00 AM,0.33,0.87,584,-4.888,0.336,4.586
1/1/2020,91.83,4.362,86.3535,9.34,3:00:00 AM,0.33,0.87,584,-4.888,0.336,4.586
1/1/2020,91.702,4.272,86.229,8.97,4:00:00 AM,0.4,0.86,603,-4.741,0.254,4.262
1/1/2020,91.702,4.272,86.229,8.97,4:00:00 AM,0.4,0.86,603,-4.741,0.254,4.262
1/1/2020,91.702,4.272,86.229,8.97,4:00:00 AM,0.4,0.87,553,-4.741,0.254,4.262
1/1/2020,91.702,4.272,86.229,8.97,5:00:00 AM,0.42,0.87,553,-4.598,0.343,4.477
1/1/2020,91.702,4.272,86.229,8.97,5:00:00 AM,0.42,0.80,600,-4.598,0.343,4.477
1/1/2020,91.702,4.272,86.229,8.97,5:00:00 AM,0.42,0.80,600,-4.762,0.229,4.683
